"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"AK","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","6","0","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","2","39","0","45","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","24","0","46","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","0","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","45","1","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","2","202","3","107","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CO","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","33","0","34","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","25","2","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","7","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DE","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","6","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"FL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","3","151","0","25","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","67","0","54","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GU","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","1","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"HI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","10","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","27","0","78","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ID","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","9","0","24","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","2","101","3","70","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IN","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","66","0","49","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","23","0","89","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KY","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","47","0","46","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"LA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","43","0","53","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","47","3","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MD","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","39","1","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ME","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","25","0","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","64","7","52","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MN","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","25","0","87","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MO","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","54","0","49","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MP","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","24","0","58","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","9","0","36","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","73","1","29","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ND","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","7","0","31","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NE","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","20","0","49","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NH","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","18","0","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NJ","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","60","2","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NM","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","13","0","25","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NV","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","19","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NY","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","123","6","35","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OH","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","94","2","53","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OK","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","33","0","64","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","25","0","33","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","114","3","35","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","15","0","32","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"RI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","9","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","33","0","28","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SD","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","6","2","34","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TN","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","2","49","0","55","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TX","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","176","0","153","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"UT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","13","1","20","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","63","0","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","11","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","47","0","30","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","48","3","67","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WV","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","24","0","25","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WY","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","6","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","9","0","14","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","76","0","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","7","55","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","0","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","48","3","20","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","5","231","28","66","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CO","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","51","0","22","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","24","4","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DC","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","5","2","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DE","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","5","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"FL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","6","155","13","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","101","4","29","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GU","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","1","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"HI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","12","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","5","83","0","28","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ID","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","18","0","19","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","6","140","20","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IN","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","99","5","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","68","2","54","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KY","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","79","0","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"LA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","79","4","24","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","46","16","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MD","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","41","4","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ME","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","33","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","99","10","15","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MN","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","70","2","56","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MO","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","85","3","20","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MP","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","73","0","19","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","24","0","30","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NC","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","93","1","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ND","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","20","0","23","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NE","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","40","0","43","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NH","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","24","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NJ","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","59","5","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NM","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","30","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NV","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","22","1","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NY","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","5","134","17","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OH","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","131","10","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OK","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","73","2","36","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","46","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","140","6","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","20","0","26","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"RI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","10","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SC","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","50","2","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SD","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","19","0","34","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TN","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","93","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TX","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","253","14","93","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"UT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","25","0","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","74","4","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","11","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","59","0","24","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","4","102","1","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WV","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","36","2","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WY","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","13","0","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","13","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","12","70","2","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","9","62","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","63","3","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","17","232","40","42","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CO","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","63","3","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","23","6","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DC","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","7","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DE","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","4","2","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"FL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","24","143","14","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","10","108","3","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GU","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","1","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"HI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","12","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","107","1","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ID","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","30","0","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","13","147","14","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IN","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","109","2","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","106","2","15","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KY","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","86","1","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"LA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","88","5","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","49","13","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MD","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","40","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ME","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","34","1","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","106","10","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MN","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","91","3","34","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MO","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","98","5","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MP","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","8","80","0","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","41","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NC","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","20","81","2","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ND","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","35","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NE","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","72","0","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NH","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","25","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NJ","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","53","9","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NM","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","37","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NV","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","24","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NY","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","9","140","16","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OH","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","134","13","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
