Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,HBIPS-2_Overall,Hours of physical-restraint use,0.01,4727,,1/1/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,HBIPS-3_Overall,Hours of seclusion,0,4727,,1/1/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,14,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,HBIPS-6_Overall,Post-discharge continuing care plan created,49,269,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,48,269,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,SUB-1,Alcohol Use Screening,3,347,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,TOB-1,Tobacco Use Screening,98,349,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,TOB-2,Tobacco Use Treatment Provided or Offered,38,120,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,TOB-2a,Tobacco Use Treatment (during the hospital stay),22,120,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,HBIPS-2_Overall,Hours of physical-restraint use,0.09,2550,,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,HBIPS-3_Overall,Hours of seclusion,0,2550,,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,9,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,HBIPS-6_Overall,Post-discharge continuing care plan created,87,254,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,86,254,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,SUB-1,Alcohol Use Screening,77,332,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,TOB-1,Tobacco Use Screening,89,332,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,TOB-2,Tobacco Use Treatment Provided or Offered,11,98,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,TOB-2a,Tobacco Use Treatment (during the hospital stay),Not Available,98,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,HBIPS-2_Overall,Hours of physical-restraint use,0.23,8427,,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,HBIPS-3_Overall,Hours of seclusion,0,8427,,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,16,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,HBIPS-6_Overall,Post-discharge continuing care plan created,8,330,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,8,330,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,SUB-1,Alcohol Use Screening,98,438,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,TOB-1,Tobacco Use Screening,100,438,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,TOB-2,Tobacco Use Treatment Provided or Offered,97,302,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,TOB-2a,Tobacco Use Treatment (during the hospital stay),59,302,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,HBIPS-2_Overall,Hours of physical-restraint use,0.22,27727,,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,HBIPS-3_Overall,Hours of seclusion,0.02,27727,,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,26,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,HBIPS-6_Overall,Post-discharge continuing care plan created,26,451,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,26,451,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,SUB-1,Alcohol Use Screening,87,734,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,TOB-1,Tobacco Use Screening,95,738,2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,TOB-2,Tobacco Use Treatment Provided or Offered,Not Available,299,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,TOB-2a,Tobacco Use Treatment (during the hospital stay),Not Available,299,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2015,12/31/2015
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,HBIPS-2_Overall,Hours of physical-restraint use,0.07,2471,,1/1/2015,12/31/2015
