"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.644","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.184","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.051","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.753","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.913","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.705","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.019","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.999","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.973","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.907","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.182","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"GU","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"HI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.351","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.641","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"ID","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.426","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.710","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"IN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.922","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.767","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"KY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.778","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"LA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.126","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"MA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.708","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
