Provider_ID,Hospital Name,Address,City,State,ZIP Code,County,Measure Name,Measure ID,VHA National Rate,Compare to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnotes,Measure Start Date,Measure End Date
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,No different than the VHA National Rate,134,9.68,7.35,12.84,,10/1/2012,9/30/2015
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,296,7.85,5.7,11.29,,10/1/2012,9/30/2015
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,389,6.89,5.17,9.3,,10/1/2012,9/30/2015
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,148,9.17,7.01,11.98,,10/1/2012,9/30/2015
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,No different than the VHA National Rate,119,15.17,12.45,18.03,,10/1/2012,9/30/2015
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,300,15.09,12.36,18.89,,10/1/2012,9/30/2015
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,409,20.67,18.03,23.92,,10/1/2012,9/30/2015
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,136,15.73,13.06,19.15,,10/1/2012,9/30/2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT-30-COPD,5.99,No different than the VHA National Rate,75,6.82,4.22,10.89,,10/1/2012,9/30/2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,7.72,No different than the VHA National Rate,85,7.15,4.81,10.38,,10/1/2012,9/30/2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,8.64,No different than the VHA National Rate,103,10.37,7.78,14.21,,10/1/2012,9/30/2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,15.57,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2012,9/30/2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM-30-COPD,16.28,No different than the VHA National Rate,77,14.37,10.67,18.57,,10/1/2012,9/30/2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,19.34,No different than the VHA National Rate,87,19.24,15.66,23.07,,10/1/2012,9/30/2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,14.74,No different than the VHA National Rate,94,13.87,10.98,16.76,,10/1/2012,9/30/2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,9.21,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2012,9/30/2015
