"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","265","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","65","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","62","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"AZ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","70","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","70","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"CT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","116","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"DE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","77","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
"FL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2016","12/31/2016"
