Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,350,210,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,190,208,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,66,289,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,189,225,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,143,215,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,73,280,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,93,274,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,248,395,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,175,395,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,78,588,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,6,1 - The number of cases/patients is too few to report. ,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,3,1 - The number of cases/patients is too few to report. ,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,87,285,2 - Data submitted were based on a sample of cases/patients.,10/1/2015,3/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Stroke care,STK-4,Thrombolytic Therapy,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Blood clot prevention and treatment,VTE-5,Warfarin therapy discharge instructions,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2016,12/31/2016
