Provider_ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Numerator,Denominator,"Observed Rate per 1,000",Footnotes,Measure Start Date,Measure End Date
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,1,1243,0.8,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Postoperative Respiratory Failure (PSI11),PSI-11,4,930,4.3,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Perioperative Blood Clot/Embolism (PSI12),PSI-12,5,1917,2.61,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Postoperative Sepsis (PSI13),PSI-13,3,1214,2.47,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,A wound that splits open after surgery on the abdomen or pelvis (PSI14),PSI-14,0,318,0,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Accidental puncture or laceration from medical treatment (PSI15),PSI-15,0,874,0,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Pressure Ulcer Rate (PSI03),PSI-3,1,3891,0.26,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Inpatient Surgical Deaths (PSI04),PSI-4,2,59,33.9,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Collapsed lung due to medical treatment (PSI06),PSI-6,1,7232,0.14,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Central Venous Catheter-Related Blood Stream Infection (PSI07),PSI-7,2,3926,0.51,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Postoperative Hip Fracture (PSI08),PSI-8,0,5799,0,,10/1/2015,3/31/2017
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Perioperative Bleeding/Bruise (PSI09),PSI-9,4,1863,2.15,,10/1/2015,3/31/2017
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Postoperative Kidney & Diabetic Complications (PSI10),PSI-10,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/2015,3/31/2017
